question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What is the runway surface condition associated with [AccidentNumber_DEN03LA117]?,Dry,dry,N/A, ___unknown___runwaysurfacecondition
What is the airframe total time associated with [Registration_N70P]?,___Unknown___AirframeTotalTime,___unknown___airframetotaltime,N/A, Unknown
What is the third event associated with [AccidentNumber_CHI07FA016]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What certificate does [Pilot_MIA01LA088] have?,AirlineTransport;FlightInstructor;Commercial,airlinetransport;flightinstructor;commercial,N/A, private
What caused [AccidentNumber_SEA89FA001]?,MANEUVER|STALL|AIRSPEED|PROPERCLIMBRATE|FLIGHTCONTROLS,maneuver,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_DEN88DTM01]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_engine_power(total)_-_nonmechanical,"N/A (As an AI language model, I don't have access to the database containing accident reports to provide information on a specific accident event)",collisionwithterrain
What is the total injury associated with [AccidentNumber_FTW02LA044]?,2 None,2 none,N/A,"1 minor, 1 none"
What is the first event associated with [AccidentNumber_ATL88LA071]?,LOSS_OF_ENGINE_POWER,loss_of_engine_power(total)_-_nonmechanical,N/A (No information provided about first event associated with AccidentNumber_ATL88LA071),collisionwithterrain
What does [Registration_N88387] have in terms of an emergency locator transmitter?,___Unknown___ELT,___unknown___elt,N/A, ___unknown___elt
What airworthiness certificate does [Registration_N6300P] have?,Normal,normal,Standard Airworthiness Certificate., ___unknown___airworthinesscertificate
What is the engine manufacturer associated with [Registration_N383MA]?,Lycoming,lycoming,N/A (there is no aircraft with registration number N383MA in the public database), ___unknown___enginemanufacturer 
What is the first event associated with [AccidentNumber_ATL84LA002]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_engine_power(total)_-_nonmechanical,"N/A (Without any context or information, it is impossible to determine the first event associated with AccidentNumber_ATL84LA002.)",collisionwithterrain
What is the second event associated with [AccidentNumber_ATL82DA061]?,LOSS_OF_ENGINE_POWER,loss_of_engine_power,N/A, ___unknown___secondevent 
What is the first event associated with [AccidentNumber_DEN91LA095]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What does [Registration_N25BA] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___elt
What was the result of the last inspection for [Registration_N49SJ]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the first event associated with [AccidentNumber_CHI83LA287]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_on_ground/water,N/A,collisionwithterrain
What is the Federal Aviation Regulation associated with [AccidentNumber_CHI03LA242]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What caused [AccidentNumber_FTW82DA078]?,COMPENSATIONFORWINDCONDITIONS|DIRECTIONALCONTROL|WEATHERCONDITION|GROUNDLOOP/SWERVE,groundloop/swerve,N/A, ___unknown___causeofaccident
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_LAX83LA313]?,OTHER_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What is the Flight Crew associated with [AccidentNumber_LAX01LA135]?,PILOT_IN_COMMAND,pilot_in_command,N/A (Insufficient information provided),pilot-in-command
What is the Flight Crew associated with [AccidentNumber_SEA90FA039]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Flight Crew associated with [AccidentNumber_FTW90FA002]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the aircraft manufacturer associated with [Registration_N9765R]?,Beech,beech,N/A, Beechcraft
What airspace is associated with [AccidentNumber_NYC04CA150]?,ClassD,classd,N/A (There is no information provided regarding airspace associated with AccidentNumber_NYC04CA150), ___unknown___airspacetype
What is the runway surface type associated with [AccidentNumber_SEA02LA010]?,Asphalt,asphalt,N/A (The provided Accident Number is invalid or not in the database), ___unknown___runwaysurfacetype
What is the Flight Crew associated with [AccidentNumber_FTW89LA061]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the first event associated with [AccidentNumber_CHI83LA127]?,LOSS_OF_CONTROL_-_IN_FLIGHT,hard_landing,N/A (No information given about AccidentNumber_CHI83LA127),collisionwithterrain
What caused [AccidentNumber_NYC05FA026]?,WEATHERCONDITION,weathercondition,N/A (The accident number is not enough to determine the cause of the accident), ___unknown___causeofaccident
What flight plan was filed for [AccidentNumber_MIA05LA066]?,IFR,ifr,N/A (The requested information is not available in the given AccidentNumber_MIA05LA066.), ___unknown___flightplan
What is the total injury associated with [AccidentNumber_CHI05LA064]?,1 None,1 none,N/A,1 none
What is the aircraft issue that caused [AccidentNumber_ANC05CA054]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A (Insufficient information given to identify the accident), ___unknown___aircraftissue
What is the crew injury associated with [AccidentNumber_ANC04LA018]?,1 Serious,1 serious,N/A,1 none
What are the operating certificates held by [Registration_N90802]?,___Unknown___OperatingCertificatesHeld,___unknown___operatingcertificatesheld,N/A, ___unknown___operatingcertificatesheldby [Registration_N90802]
What instructor rating does [Pilot_CHI04LA124] have?,Airplane Single-engine,airplane single-engine,N/A (There is no information provided about Pilot_CHI04LA124's instructor rating), ___unknown___instructorrating
What certificate does [Pilot_FTW04LA105] have?,Student,student,N/A, Private Pilot Certificate with an airplane single-engine land rating
What airworthiness certificate does [Registration_N370V] have?,Transport,transport,N/A, ___unknown___airworthinesscertificate
What caused [AccidentNumber_ATL97FA034]?,AIRSPEED|STALL,airspeed,N/A, ___unknown___causeofaccident
What is the third event associated with [AccidentNumber_DEN91LA095]?,HARD_LANDING,in_flight_collision_with_terrain/water,N/A (there is no provided information or context about the accident events associated with AccidentNumber_DEN91LA095), ___unknown___thirdevent 
What is the third event associated with [AccidentNumber_IAD97LA071]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),in_flight_collision_with_object_-_tree(s,N/A, ___unknown___thirdevent 
What is the landing gear associated with [Registration_N1177M]?,Tricycle,tricycle,tricycle_fixed, ___unknown___landinggear
What airspace is associated with [AccidentNumber_SEA02FA023]?,ClassC,classc,N/A, ___unknown___airspacetype
What caused [AccidentNumber_DEN01LA158]?,SUPERVISION|WEATHERCONDITION,weathercondition,N/A (There is no information provided about AccidentNumber_DEN01LA158), ___unknown___causeofaccident
What caused [AccidentNumber_DEN85LA089]?,FUELSYSTEM|REMEDIALACTION|TERRAINCONDITION|EMERGENCYPROCEDURE,remedialaction,N/A, ___unknown___causeofaccident
What is the clearance associated with [AccidentNumber_CHI04CA219]?,VFR,vfr,N/A, ___unknown___clearance
What airworthiness certificate does [Registration_N2724R] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What is the first event associated with [AccidentNumber_FTW97LA054]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_FENCE_POST,loss_of_engine_power,N/A,collisionwithterrain
What is the landing gear associated with [Registration_N75844]?,Tricycle,tricycle,N/A, ___unknown___landinggear
What caused [AccidentNumber_IAD98LA088]?,DIRECTIONALCONTROL|WEATHERCONDITION,directionalcontrol,N/A, ___unknown___causeofaccident
What caused [AccidentNumber_CHI97LA064]?,DIRECTIONALCONTROL|TERRAINCONDITION,directionalcontrol,N/A, ___unknown___causeofaccident
What is the condition of light associated with [AccidentNumber_MIA03CA103]?,Day,day,N/A, day
What is the Flight Crew associated with [AccidentNumber_ANC87LA089]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the condition of light associated with [AccidentNumber_SEA03LA182]?,Day,day,N/A, day
What is the Visual Flight Rules approach associated with [AccidentNumber_FTW04LA202A]?,FullStop,fullstop,What is the Visual Flight Rules approach associated with AccidentNumber_FTW04LA202A?  Your response: N/A, ___unknown___visualflightrulesapproach 
What medical certification does [Pilot_NYC03LA096] have?,Class 2 Valid Medical--no waivers/lim.,class 2 valid medical--no waivers/lim.,N/A,certifiedinstrumentpilot
In which country did [AccidentNumber_CHI03LA187] occur?,IN,in,N/A (Insufficient information provided), ___unknown___country
What environmental issue caused [AccidentNumber_CHI02LA115]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (There is not enough information to determine which accident is being referred to with AccidentNumber_CHI02LA115), ___unknown___environmentalissue
What medical certification does [Pilot_ATL04LA088] have?,Class 2 Without Waivers/Limitations,class 2 without waivers/limitations,N/A (There is no mention of Pilot_ATL04LA088 in relation to any medical certification.),certifiedinstrumentpilot
What is the first event associated with [AccidentNumber_FTW86LA160]?,LOSS_OF_ENGINE_POWER(PARTIAL)_-_MECH_FAILURE/MALF,loss_of_engine_power(total)_-_mech_fa,N/A (Insufficient information provided),collisionwithterrain
What is the lowest cloud condition associated with [AccidentNumber_CHI03FA003]?,Clear,clear,N/A, ___unknown___cloudcondition
What certificate does [Pilot_ANC05FA090] have?,AirlineTransport;FlightInstructor,airlinetransport;flightinstructor,N/A, ___unknown___certificate
What is the Flight Crew associated with [AccidentNumber_ANC05CA054]?,PILOT_IN_COMMAND,pilot_in_command,"N/A (As an AI language model, I don't have access to current accident reports or databases.)",pilotincommand
What is the total injury associated with [AccidentNumber_DEN03LA117]?,1 None,1 none,N/A,"1 minor, 1 none"
What aircraft category does [Registration_N2938J] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What was the result of the last inspection for [Registration_N3233M]?,Annual,annual,N/A, ___unknown___lastinspectionresult
What is the seat occupancy associated with [Pilot_NYC04FA137]?,Left,left,N/A (There is no Accident Number with Pilot_NYC04FA137),2
What is the condition of light associated with [AccidentNumber_LAX02FA038]?,Night,night,N/A (The AccidentNumber_LAX02FA038 does not provide information about the condition of light associated with it), day
What is the Flight Crew associated with [AccidentNumber_DEN85LA107]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot in command
What is the airframe total time associated with [Registration_N56715]?,___Unknown___AirframeTotalTime,___unknown___airframetotaltime,N/A (insufficient information provided), Unknown
What was the result of the last inspection for [Registration_N21468]?,Continuous Airworthiness,continuous airworthiness,N/A, ___unknown___lastinspectionresult
What are the conditions at the accident site associated with [AccidentNumber_FTW04LA226]?,Visual Conditions,visual conditions,N/A (There is no information provided about AccidentNumber_FTW04LA226.), ___unknown___ataccidentsite
What is the airplane rating associated with [Pilot_CHI03LA001]?,Single-engineLand,single-engineland,N/A (The given AccidentNumber is not related to any airplane rating), ___unknown___airplanerating
What is the runway surface type associated with [AccidentNumber_FTW03LA002]?,Asphalt,asphalt,N/A (runway surface type is not mentioned in the given accident number), ___unknown___runwaysurfacetype
What aircraft category does [Registration_N2686W] belong to?,Airplane,airplane,N/A (insufficient information provided), ___unknown___aircraftcategory
What is the first event associated with [AccidentNumber_ATL88LA126]?,HARD_LANDING,loss_of_engine_power(total)_-_nonmechanical,"N/A (As an AI language model, I don't have access to information about specific accident numbers unless provided with the data.)",collisionwithterrain
What is the condition of light associated with [AccidentNumber_FTW01LA135]?,Day,day,N/A, day
What medical certification does [Pilot_CHI05CA208] have?,Class 3,class 3,N/A, ___unknown___medicalcertification
What was the result of the last inspection for [Registration_N6315P]?,Annual,annual,N/A, ___unknown___lastinspectionresult
What is the first event associated with [AccidentNumber_NYC02LA128]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_control_-_on_ground/water,N/A (There is no information provided about AccidentNumber_NYC02LA128),collisionwithterrain
What is the engine manufacturer associated with [Registration_N3575X]?,Lycoming,lycoming,N/A, Lycoming
What engine is associated with [Registration_N8885F]?,1Reciprocating,1reciprocating,N/A, ___unknown___engines
What airworthiness certificate does [Registration_N915X] have?,Restricted,restricted,N/A, ___unknown___airworthinesscertificate
What aircraft category does [Registration_N2221X] belong to?,Airplane,airplane,N/A,aircraftcategoryunknown
What is the aircraft manufacturer associated with [Registration_N4686J]?,Piper,piper,N/A, Beechcraft
What is the Federal Aviation Regulation associated with [AccidentNumber_FTW04FA052]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personalflight
What are the operating certificates held by [Registration_N257LA]?,___Unknown___OperatingCertificatesHeld,___unknown___operatingcertificatesheld,N/A, ___unknown___operatingcertificatesheldby [Registration_N257LA]
What is the runway surface condition associated with [AccidentNumber_SEA03LA032]?,Dry,dry,N/A (There is no AccidentNumber_SEA03LA032 record to retrieve the information from), ___unknown___runwaysurfacecondition
What is the restraint used associated with [Pilot_CHI05CA208]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A,seatbelt
What caused [AccidentNumber_FTW98FA291]?,MAINTENANCEANNUALINSPECTION|FUELSYSTEMLINE|AIRSPEEDVS,aircraftpreflight,N/A, ___unknown___causeofaccident
What caused [AccidentNumber_ATL01LA051]?,DIRECTIONALCONTROL,directionalcontrol,N/A (The accident number provided is not valid or does not exist in our database), ___unknown___causeofaccident
What is the second event associated with [AccidentNumber_NYC88LA024]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_TREE(S),forced_landing,N/A, ___unknown___secondevent 
What is the fourth event associated with [AccidentNumber_ANC95LA126]?,NOSE_OVER,nose_over,N/A, ___unknown___fourthevent
What is the total injury associated with [AccidentNumber_MIA03LA139]?,"1 Serious, 1 Minor","1 serious, 1 minor",N/A (There is no information given about any injuries associated with the accident number MIA03LA139),1 none
What caused [AccidentNumber_CHI82DA230]?,OBJECT|FLUIDOIL|TERRAINCONDITION,object,N/A, ___unknown___causeofaccident
What is the Flight Crew associated with [AccidentNumber_FTW03LA001]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What flight plan was filed for [AccidentNumber_ATL02FA113]?,IFR,ifr,N/A, IFR
What medical certification does [Pilot_LAX02LA147] have?,Class 2,class 2,N/A, ___unknown___medicalcertification
What is the first event associated with [AccidentNumber_DEN82DA077]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_control_-_on_ground/water,N/A (Insufficient information provided to determine the answer),collisionwithterrain
What is the clearance associated with [AccidentNumber_IAD02LA039]?,IFR,ifr,N/A, ___unknown___clearance
What is the second event associated with [AccidentNumber_FTW89LA061]?,LOSS_OF_CONTROL_-_IN_FLIGHT,in_flight_collision_with_terrain/water,N/A, ___unknown___secondevent 
What is the first event associated with [AccidentNumber_LAX92LA076]?,LOSS_OF_ENGINE_POWER,loss_of_engine_power(total)_-_nonmechanical,N/A (There is no information provided about first event associated with the Accident Number LAX92LA076),collisionwithterrain
What certificate does [Pilot_DFW05CA097] have?,Student,student,N/A, private
What is the third event associated with [AccidentNumber_ATL94FA012]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What are the conditions at the accident site associated with [AccidentNumber_ATL04LA001]?,Visual Conditions,visual conditions,N/A (Insufficient information provided), ___unknown___ataccidentsite
What engine is associated with [Registration_N106LN]?,1TurboShaft,1turboshaft,N/A, Lycoming IO-540-B1B5
What are the conditions at the accident site associated with [AccidentNumber_CHI05LA064]?,Visual Conditions,visual conditions,N/A (Insufficient information provided),dry
What is the seat occupancy associated with [Pilot_MIA05LA001]?,Left,left,N/A,2
What is the condition of light associated with [AccidentNumber_ATL05TA055]?,Day,day,N/A, day
What aircraft category does [Registration_N9091D] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the airplane rating associated with [Pilot_MIA05LA021]?,Single-engineLand,single-engineland,N/A (The given Accident Number does not exist in the database), private
What is the second event associated with [AccidentNumber_MIA84FU003]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
In which country did [AccidentNumber_SEA02LA001] occur?,MT,wa,N/A (the accident number is incomplete), ___unknown___country
What aircraft category does [Registration_N448DH] belong to?,Airplane,airplane,N/A (The given registration number is incorrect or invalid), ___unknown___aircraftcategory
What is the aircraft fire associated with [AccidentNumber_CHI01FA111]?,On-Ground,on-ground,N/A, ___unknown___aircraftfire
What engine is associated with [Registration_N1811N]?,1Reciprocating,1reciprocating,N/A, Lycoming O-360-A4M
What engine is associated with [Registration_N9062D]?,1Reciprocating,1reciprocating,N/A, Lycoming O-320-E2D
What is the lowest cloud condition associated with [AccidentNumber_CHI05CA208]?,___Unknown___LowestCloudCondition,___unknown___lowestcloudcondition,N/A (The AccidentNumber_CHI05CA208 does not contain information about cloud conditions.), ___unknown___cloudcondition
What is the second event associated with [AccidentNumber_ATL06LA114]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What is the Flight Crew associated with [AccidentNumber_MKC89LA101]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What airworthiness certificate does [Registration_N5677X] have?,Utility,utility,N/A, ___unknown___airworthinesscertificate
What is the condition of light associated with [AccidentNumber_CHI03LA194]?,Day,day,N/A, day
What caused [AccidentNumber_LAX99FA138]?,FLIGHTINTOKNOWNADVERSEWEATHER|WEATHERCONDITION|WEATHERFORECAST|TERRAINCONDITION|WING,weatherforecast,N/A - The Accident Number is not sufficient to identify the accident and determine the cause., ___unknown___causeofaccident
What caused [AccidentNumber_FTW88LA113]?,REFUELING|OBJECT|PREFLIGHTPLANNING/PREPARATION|FLUIDFUEL,clearance,N/A, ___unknown___causeofaccident
What is the second event associated with [AccidentNumber_LAX03LA019]?,ROLL_OVER,roll_over,N/A, ___unknown___secondevent 
What is the first event associated with [AccidentNumber_ANC85LA019]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),in_flight_collision_with_object_-_tree(s,N/A,collisionwithterrain
What is the condition of light associated with [AccidentNumber_ATL04LA088]?,Day,day,N/A, day
What airspace is associated with [AccidentNumber_ATL02FA113]?,ClassB,classb,"N/A (The question refers to an accident report, which does not provide information on associated airspace.)", ___unknown___airspacetype
What are the conditions at the accident site associated with [AccidentNumber_ANC03LA017]?,Visual Conditions,visual conditions,"N/A - As an AI language model, I do not have access to current news and events and am unable to browse the internet. Please provide a valid AccidentNumber for me to answer your question or provide me with more details on where to find the information you are looking for.", ___unknown___ataccidentsite
What is the third event associated with [AccidentNumber_CHI07CA253]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER,on_ground/water_encounter_with_terrain/water,N/A, ___unknown___thirdevent
What is the aircraft damage associated with [AccidentNumber_FTW02LA029]?,Substantial,substantial,N/A,substantial
What is the second event associated with [AccidentNumber_MIA04LA050]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What certificate does [Pilot_IAD02FA047] have?,AirlineTransport;Commercial,airlinetransport;commercial,N/A, private
What environmental issue caused [AccidentNumber_CHI03LA242]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,"N/A (As an AI language model, I cannot browse the internet and access the accident reports to provide the answer without additional context or information.)", ___unknown___environmentalissue
What instructor rating does [Pilot_LAX05CA129] have?,___Unknown___InstructorRating,___unknown___instructorrating,N/A (no information provided about Pilot_LAX05CA129's instructor rating), ___unknown___instructorrating
What is the Flight Crew associated with [AccidentNumber_DEN88FA061]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the crew injury associated with [AccidentNumber_IAD05LA071]?,1 None,1 none,N/A (The AccidentNumber_IAD05LA071 was not provided with any crew injury information),"1 minor, 1 none"
What is the Federal Aviation Regulation associated with [AccidentNumber_LAX02LA074]?,Part91GeneralAviation-Instructional,part91generalaviation-instructional,N/A (The given Accident Number LAX02LA074 is not associated with any specific Federal Aviation Regulation), 14 CFR 91.17 – VFR flight plan
What is the aircraft issue that caused [AccidentNumber_ANC03LA009]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A, ___unknown___aircraftissue
What is the airplane rating associated with [Pilot_CHI02TA149]?,Multi-engineLand;Single-engineLand;Single-engineSea,multi-engineland;single-engineland;single-engine,N/A (insufficient information provided to determine the answer), private
What is the second event associated with [AccidentNumber_LAX95FA029]?,FORCED_LANDING,forced_landing,N/A (There is no mention of a second event associated with AccidentNumber_LAX95FA029 in the given question or surrounding context), ___unknown___secondevent 
What is the second event associated with [AccidentNumber_ANC05LA133]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_control_-_on_ground/water,N/A, ___unknown___secondevent 
What is the first event associated with [AccidentNumber_MIA88LA263]?,LOSS_OF_ENGINE_POWER,loss_of_engine_power(total)_-_nonmechanical,N/A (No information is given about the first event associated with AccidentNumber_MIA88LA263),collisionwithterrain
What is the seat occupancy associated with [Pilot_ANC05CA054]?,Front,front,N/A,2
What is the Flight Crew associated with [AccidentNumber_CHI83LA406]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
In which country did [AccidentNumber_ATL04LA044] occur?,AL,al,N/A (insufficient information provided), ___unknown___country
What is the third event associated with [AccidentNumber_FTW02LA010]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_TREE(S),nose_over,N/A (The question cannot be answered without additional information), ___unknown___thirdevent 
What is the lowest cloud condition associated with [AccidentNumber_MIA01LA088]?,___Unknown___LowestCloudCondition,few / 20000 ft agl,N/A, ___unknown___cloudcondition
What is the aircraft damage associated with [AccidentNumber_CHI02LA115]?,Substantial,substantial,N/A,substantial
What is the Flight Crew associated with [AccidentNumber_FTW96FA058]?,PILOT_IN_COMMAND(CFI),pilot_in_command,N/A (The provided accident number is not a valid one),pilotincommand
What environmental issue caused [AccidentNumber_CHI01LA255]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (There is no AccidentNumber_CHI01LA255 on record), ___unknown___environmentalissue
What is the clearance associated with [AccidentNumber_SEA02LA001]?,VFR,vfr,N/A, ___unknown___clearance
What caused [AccidentNumber_CHI99LA081]?,PREFLIGHTPLANNING/PREPARATION|FLUIDFUEL|WEATHERCONDITION|TERRAINCONDITION,unsuitableterrainortakeoff/landing/taxiarea,N/A, ___unknown___causeofaccident
What engine is associated with [Registration_N1928J]?,1Reciprocating,1reciprocating,N/A, Lycoming O-320-E2D
What is the third event associated with [AccidentNumber_ATL03FA115]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What is the Flight Crew associated with [AccidentNumber_LAX86LA150]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the third event associated with [AccidentNumber_ATL92FA042]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_SIGN,on_ground/water_collision_with_object_-_sign,N/A, ___unknown___thirdevent
What does [Registration_N7615Z] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident","installed, activated, did not aid in locating accident",N/A, ___unknown___emergencylocatortransmitter 
What caused [AccidentNumber_DFW05LA027]?,FLUIDFUEL|FUELTANKSELECTORPOSITION|FUELMANAGEMENT,fluidfuel,N/A, ___unknown___causeofaccident
What is the Flight Crew associated with [AccidentNumber_SEA85LA102]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What airworthiness certificate does [Registration_N4602S] have?,Normal,normal,Standard, ___unknown___airworthinesscertificate
What medical certification does [Pilot_MIA03LA139] have?,Class 2 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A,certifiedflightinstructor
In which country did [AccidentNumber_FTW03LA004] occur?,AR,la,N/A (information not provided), united states
What is the engine manufacturer associated with [Registration_N2184N]?,Continental,continental,N/A, Lycoming
What is the second event associated with [AccidentNumber_CHI98LA188]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,forced_landing,N/A, ___unknown___secondevent 
What is the Flight Crew associated with [AccidentNumber_FTW92LA125]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the aircraft damage associated with [AccidentNumber_LAX05LA060]?,Substantial,substantial,N/A,substantial
What caused [AccidentNumber_DEN86LA059]?,WEATHERCONDITION|FLIGHTPLANNING/DECISION|LOWPASS,flightplanning/decision,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_NYC89FA093]?,"ALTITUDE_DEVIATION,UNCONTROLLED",loss_of_control_-_in_flight,"N/A (As an AI language model, I do not have access to real-time data on accidents and incidents. Please provide me a valid input.)",collisionwithterrain
What is the second event associated with [AccidentNumber_LAX03FA057]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What is the third event associated with [AccidentNumber_DEN04LA056]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),loss_of_control_-_in_flight,N/A (insufficient information provided), ___unknown___thirdevent 
What medical certification does [Pilot_NYC02LA128] have?,Class 3 Valid Medical--w/ waivers/lim.,class 3 valid medical--w/ waivers/lim.,N/A,certifiedinstrumentpilot
What is the airplane rating associated with [Pilot_CHI04LA052]?,Single-engineLand,single-engineland,N/A, private
What airspace is associated with [AccidentNumber_CHI04FA203]?,ClassC,classc,N/A (The question is not related to information provided in the dataset), ___unknown___airspacetype
What is the Flight Crew associated with [AccidentNumber_NYC98LA120]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What airspace is associated with [AccidentNumber_NYC03LA096]?,ClassG,classg,N/A (The given Accident Number is invalid), ___unknown___airspacetype
What does [Registration_N83W] have in terms of an emergency locator transmitter?,___Unknown___ELT,___unknown___elt,N/A, ___unknown___elt
What is the second event associated with [AccidentNumber_LAX84LA423]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A (Insufficient information to determine the second event associated with AccidentNumber_LAX84LA423), ___unknown___secondevent 
What is the Federal Aviation Regulation associated with [AccidentNumber_NYC02FA152]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What are the conditions at the accident site associated with [AccidentNumber_ATL02FA058]?,Visual Conditions,visual conditions,"N/A - As an AI language model, I do not have access to real-time accident reports or databases. Please provide a valid input.", ___unknown___ataccidentsite
What is the aircraft issue that caused [AccidentNumber_MIA01LA088]?,___Unknown___AircraftIssue,___unknown___aircraftissue,engine failure, ___unknown___aircraftissue
What is the runway surface type associated with [AccidentNumber_CHI04LA144]?,___Unknown___RunwaySurfaceType,___unknown___runwaysurfacetype,N/A, ___unknown___runwaysurfacetype
What passanger injury is associated with [AccidentNumber_ATL04CA108]?,1 None,3 none,N/A (AccidentNumber_ATL04CA108 is not a valid accident number)," 1 minor, 1 none"
What is the first event associated with [AccidentNumber_ATL86LA237]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_engine_power(total)_-_nonmechanical,N/A (As no information about AccidentNumber_ATL86LA237 is provided),collisionwithterrain
What is the total injury associated with [AccidentNumber_NYC02LA107]?,4 None,4 none,N/A (There is no information provided about any injuries associated with AccidentNumber_NYC02LA107),"1 minor, 1 none"
What is the instrument flight rules approach associated with [AccidentNumber_ATL04CA108]?,___Unknown___InstrumentFlightRulesApproach,___unknown___instrumentflightrulesapproach,N/A, ___unknown___instrumentflightrulesapproach 
What is the second event associated with [AccidentNumber_LAX05LA002]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What is the Federal Aviation Regulation associated with [AccidentNumber_LAX05CA129]?,Part91GeneralAviation-Personal,part91generalaviation-personal,"N/A (As an AI language model, I do not have access to current accident reports or FAA regulations. Also, AccidentNumber_LAX05CA129 is not a valid accident number format. The correct format is generally two letters followed by six digits, such as NTSB Identification: LAX07FA142)", part91generalaviation-personal_flight
What airworthiness certificate does [Registration_N48020] have?,Normal,normal,standard, ___unknown___airworthinesscertificate
What airworthiness certificate does [Registration_N3310K] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
