question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ATL05FA048],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
What is the operator of the registered aircraft involved in [AccidentNumber_ATL04LA001],Glen M. Readdick,john r. graham,N/A,"Cessna Aircraft Company, Inc."
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_FTW02LA228],23744.7 Hours as of last inspection,___unknown___airframetotaltime,N/A,1408.0 hours at time of accident.
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA02LA002],Class 3 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,Commercial Pilot Certificate with an Airplane Single-Engine Land rating and a Flight Instructor Certificate with ratings for Airplane Single-Engine Land and Instrument Airplane.,Medical with waivers. No waivers in effect.
What was the condition of light when the accident of aircraft registered with [Registration_N66758] occurred,Night,day,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What could have contributed to the cause of the accident [AccidentNumber_CHI84LA101],PILOT_IN_COMMAND|OTHER,other,Pilot error.,other_maintenance_personnel_personnel_in_charge_personnel_in_charge_of_maintenance_personnel_in_charge_of_flight_crew_personnel_in_charge_of_flight
What is the aircraft category of the registered aircraft involved in [AccidentNumber_SEA01LA110],Airplane,airplane,N/A (Insufficient information provided to determine the aircraft category),turbopropplane:turbopropjet:turbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturb
What is the operator of the registered aircraft involved in [AccidentNumber_CHI04LA144],Bernard A. Armstrong,"ellinwood flying services,",N/A (information not provided in given AccidentNumber),"Cessna Aircraft Company, Inc."
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_DEN03FA002],Private,airlinetransport;flightinstructor;commercial,N/A,Private;commercial;flightengineer;flightengineerinstructor;flightengineerinstructorinflightacrobatics;flightengineerinstructorinflightacrobaticsandflightinstructor;flightengineerinstructor
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW02FA028],Class 2 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A - The FAA accident database does not contain information on the medical certification of the pilot in AccidentNumber_FTW02FA028.,Medical with waivers/limitations. No waivers/limitations noted in pilot's medical records. No waivers/limitations noted in medical records of other crewmembers. No waivers/limitations noted in medical records of other aircrewmembers. No waivers
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_DEN01LA061],Student,private,Private Pilot Certificate with Single-Engine Land Rating.,Private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX02LA100],Aeronca,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1a.html
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA05LA001],Class 2 With Waivers/Limitations,class 3 valid medical--w/ waivers/lim.,"Commercial Pilot Certificate with a Rating for Airplane Single-Engine Land, and Instrument Airplane.", Class 2 valid medical--w/ waivers/lim. waivers/lim. not
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_FTW04LA053],Instrument Airplane,airplane multi-engine; airplane single-engine; instrument airplane,N/A (The instructor rating of the pilot is not mentioned in the accident report for AccidentNumber_FTW04LA053), airplane multi-engine; airplane single-engine; instrument airplane; instrument helicopter; helicopter; airframe; powerplant; instrument flight; flight; flight simulator; flight training; flight training device; flight training device pilot; flight instructor; flight instructor pilot
Which pilots have been involved in the accident of aircraft registered with [Registration_N658SE],Pilot_ATL01LA029,pilot_sea04la023,N/A - There is no record of an aircraft with the registration N658SE being involved in an accident.,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA05CA003],___Unknown___TypeOfLastInspection,annual,N/A, ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW02LA137],Normal,normal,Standard,normal;aircraft not required to be registered in Canada;no airworthiness certificates issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued
Which cities have the accidents of the aircraft registered with [Registration_N68778] occurred in,Owensville,anchorage,N/A (The question does not provide information on any specific accidents or incidents involving Registration_N68778),"bakersfield,ca;chicago,il;dallas,tx;denver,co;detroit,mi;houston,tx;losangeles,ca;memphis,tn;newyork,ny;philadelphia"
What is the engine model of the registered aircraft involved in [AccidentNumber_MIA02LA038],EA81-981,o-320-d2j,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
What could have contributed to the cause of the accident [AccidentNumber_DEN84LA020],OTHER,other,N/A (The accident number provided does not exist in the National Transportation Safety Board's database),other_aircraft_personnel_operation_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_
What was the condition of light when the accident of aircraft registered with [Registration_N7XD] occurred,Day,___unknown___conditionoflight,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What could have contributed to the cause of the accident [AccidentNumber_SEA91LA029],OTHER,other,N/A (The accident number provided does not exist in the database of NTSB),other_maintenance_personnel_personnel_in_charge_personnel_in_charge_of_maintenance_personnel_in_charge_of_maintenance_personnel_in_charge_of_maintenance
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX03LA080],Paul E.Thomas,samuel w carson jr.,"N/A - As an AI language model, I do not have access to real-time data on aircraft accidents and registrations.",The registered owner of the registered aircraft involved in [AccidentNumber_LAX03LA080] is the owner of the registered aircraft.
Which cities have the accidents of the aircraft registered with [Registration_N25GH] occurred in,ECameron190,amarillo,N/A (insufficient information provided),"burbank,ca"
What is the engine type of the registered aircraft involved in [AccidentNumber_ANC04LA018],2Reciprocating,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What could have contributed to the cause of the accident [AccidentNumber_CHI00FA003A],OTHER_MAINTENANCE_PERSONNEL|OTHERINSTITUTION|COMPANY/OPERATOR_MANAGEMENT|MANUFACTURER,other,Pilot's failure to maintain clearance and his delayed reaction to visual warnings.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ANC01LA028],Normal,normal,N/A,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What could have contributed to the cause of the accident [AccidentNumber_DEN84LA080],PILOT_IN_COMMAND|OTHERPERSON|OTHER,other,N/A. The provided AccidentNumber_DEN84LA080 does not have enough information available to determine the cause of the accident or any factors that may have contributed to it.,other_aircraft_personnel_operation_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_
Which cities have the accidents of the aircraft registered with [Registration_N8240P] occurred in,Skwentna,wilmington,N/A (No information is provided about any accidents involving the aircraft with registration number N8240P),"denver,colorado"
Which cities have the accidents of the aircraft registered with [Registration_N8917H] occurred in,Basile,joshuatree,N/A,"denver,colorado"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_IAD02LA039],Retractable-Tricycle,tricycle,Retractable tricycle.,tricycle
What could have contributed to the cause of the accident [AccidentNumber_NYC83FA107],PILOT_IN_COMMAND|OTHER,pilot_in_command,N/A. No accident with that accident number was found in the database provided.,unknownpersonnel/equipmentpersonnel/operationofequipmentotherthanaircraftaircraftpersonnel/operationofequipmentotherthanaircraftpersonnel/operationofequipmentotherthanaircraftpersonnel/operationofequipmentotherthan
What could have contributed to the cause of the accident [AccidentNumber_CEN10LA143],Incorrectservice/maintenance|CapabilityExceeded|Failure,capabilityexceeded,N/A,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the landing gear type of the registered aircraft involved in [AccidentNumber_SEA02FA023],Retractable-Tricycle,retractable-tricycle,Retractable tricycle.,tricycle
What is the engine type of the registered aircraft involved in [AccidentNumber_NYC05CA047],1TurboShaft,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ANC01LA066],H-391B,pa-18-150,N/A (The provided AccidentNumber is invalid or incorrect),c-46b-2a-1b-2b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ANC03LA017],Tailwheel,tailwheel,Retractable tricycle.,tricycle
What is the serial number of the registered aircraft involved in [AccidentNumber_MIA03LA090],28R-30698,bb-736,N/A (The FAA database does not provide this information in AccidentNumber_MIA03LA090),3-13-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
What is the aircraft category of the registered aircraft involved in [AccidentNumber_SEA04LA001],Airplane,airplane,N/A,turbopropplane:turbopropjet:turbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturb
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA05FA020],Commercial,private,Private Pilot Certificate,Private;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ANC05FA090],Normal,normal,N/A,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_MIA01FA206],On-demand Air Taxi (135),on-demand air taxi (135),N/A,commercial air carrier (135)
What was the condition of light when the accident of aircraft registered with [Registration_N669SP] occurred,Day,day,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_MIA02FAMS1],Ayres,mooney,N/A,craigaircraftinc.com/craigaircraftinc.com/craigaircraftinc.com/craigaircraftinc.com/craigaircraftinc.com/craigaircraft
Which cities have the accidents of the aircraft registered with [Registration_N8150F] occurred in,Atkinson,poughkeepsie,N/A (There is no information provided about any accidents involving the aircraft with registration number N8150F),"Bakersfield,California;Casper,Wyoming;Denver,Colorado;Fresno,California;LasVegas,Nevada;LosAngeles,California;Phoenix,Arizona;Sacramento,California;SanDiego"
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW03LA200],1Reciprocating,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
Which cities have the accidents of the aircraft registered with [Registration_N248JT] occurred in,GraniteShoals,kankakee,N/A - The given Registration_N248JT does not have any accidents registered.,"Bakersfield,California;Chandler,Arizona;Chula Vista,California;El Paso,Texas;Fort Collins,Colorado;Grand Prairie,Texas;Henderson,Nevada;Las Vegas,Nevada;Lubbock,"
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ANC01LA141],Experimental,normal,N/A,normal;aircraft not required to be registered in Canada;no airworthiness certificates issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued for aircraft of type involved in accident;no waivers issued
What is the aircraft model of the registered aircraft involved in [AccidentNumber_LAX05CA128],172N,172s,"N/A (Sorry, as an AI language model, I do not have access to the internet or aviation database to retrieve up-to-date information on specific accidents or incidents. Please provide a valid and up-to-date accident number.)",c-46b-2a-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI01LA195],401-0765,172rg0846,N/A,3-13-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
What could have contributed to the cause of the accident [AccidentNumber_GAA18CA117],CapabilityExceeded|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND,not_specified,N/A (Insufficient information provided in the given AccidentNumber_GAA18CA117),_unknown_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel
What could have contributed to the cause of the accident [AccidentNumber_CEN13CA521],Response/compensation|EffectOnEquipment|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|AbilityTorespond/compensate|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND,not_specified,Pilot's failure to maintain clearance from terrain.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
Where did the accidents with accident of aircraft registered with [Registration_N4458S] occur,CA,ar,N/A,florida
What could have contributed to the cause of the accident [AccidentNumber_CEN16LA153],Failure|NotSpecified|Malfunction|Incorrectservice/maintenance|Fatigue/wear/corrosion,failure,"Possible answers could include pilot error, mechanical failure, weather conditions, or air traffic control issues. Without more information about the specific circumstances of the accident, it is difficult to provide a more specific or accurate answer.",_unknown_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel
Which cities have the accidents of the aircraft registered with [Registration_N65914] occurred in,Belliigham,wilmington,N/A - The question doesn't provide information about any accidents involving the aircraft with Registration_N65914.,"bakersfield,ca;chicago,il;dallas,tx;denver,co;detroit,mi;houston,tx;losangeles,ca;memphis,tn;newyork,ny;philadelphia"
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW02LA135],Not installed,"installed, not activated",N/A,"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
What is the operator of the registered aircraft involved in [AccidentNumber_LAX03LA019],D. C. Rotor & Wing,karl hoyer,JetBlue Airways,"Cessna Aircraft Company, Inc."
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_IAD05LA029],Normal,normal,N/A (The airworthiness certificate is not listed in the accident report),normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
Which cities have the accidents of the aircraft registered with [Registration_N182UA] occurred in,PacificOcean,wilmington,N/A (There is no information on accidents involving Registration_N182UA available.),"Bakersfield,California;Casper,Wyoming;Denver,Colorado;Fresno,California;LasVegas,Nevada;LosAngeles,California;Phoenix,Arizona;Sacramento,California;SanDiego"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_NYC01LA198],Tailwheel,tricycle,Retractable tricycle.,tricycle
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI03LA326],Cessna,___unknown___aircraftmanufacturer,Raytheon Aircraft.,craigaircraft.com/aircraft/craig-aircraft-c-a-2-0-1/craig-aircraft-c-a-2-0-1-aircraft-manufacturer
What is the landing gear type of the registered aircraft involved in [AccidentNumber_SEA04LA134],Tricycle,tricycle,Tri-cycle.,tricycle
Which cities have the accidents of the aircraft registered with [Registration_N4952J] occurred in,Sarasota,atlanta,N/A - There is no record of an aircraft with Registration_N4952J involved in any accidents.,"denver,colorado"
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI04LA026],BD5B,pa-28-161,N/A (Insufficient information given. The aircraft model is not specified in the given accident number.),c-46b-2a-1b2b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_LAX01LA083],Multi-engineLand;Single-engineLand,single-engineland,N/A,Single-engineland;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA091],Selby G. Venning,john j. moran,N/A,The registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA091] is the owner of the registered aircraft.
Which pilots have been involved in the accident of aircraft registered with [Registration_N39678],Pilot_LAX04CA236,pilot_chi03la294,N/A (There is no record of an accident involving an aircraft registered with Registration_N39678),pilot_chi01la039c037a0b0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI02LA057],11AC,pa-28r-201t,N/A (The accident number provided is invalid or no information is available for this question),c-46b-2a-1b2b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
What could have contributed to the cause of the accident [AccidentNumber_WPR11LA245],CABINCREW|COMPANY_MAINTENANCE_PERSONNEL|OWNER/BUILDER|COMPANY_MAINTENANCE_PERSONNEL|COMPANY_MAINTENANCE_PERSONNEL|OWNER/BUILDER|Failure|Malfunction,company_maintenance_personnel,Pilot's loss of directional control during takeoff roll.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What could have contributed to the cause of the accident [AccidentNumber_ATL82DA222],OTHER,other,Pilot error.,personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA01LA054],Class 3 Valid Medical--w/ waivers/lim.,class 3 valid medical--w/ waivers/lim.,Commercial - Airline Transport Pilot.,Medical with waivers/limitations. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No
What could have contributed to the cause of the accident [AccidentNumber_MKC89LA101],OTHER,other,N/A (No accident number provided),other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC02LA067],Piper,cessna,N/A,craigaircraft.com/aircraft/craig-aircraft-c-a-2-a.html.html.html.html.html.html.html.html.html.html.html.html.
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX01FA134],Airplane,airplane,N/A (The specified accident number is invalid or the data is not available),turboprop:turbopropenginedaircraftturbopropenginedaircraftturbopropenginedaircraftturbopropenginedaircraftturbopropenginedaircraftturbopropeng
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ANC03FA106],Single-engineLand,single-engineland,N/A (The NTSB report for AccidentNumber_ANC03FA106 does not mention the pilot's airplane rating.),Single-engineland;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-
Who is the registered owner of the registered aircraft involved in [AccidentNumber_CHI05CA060],Andrews University,stuart e. sybesma,N/A,The registered owner of the registered aircraft involved in accident number ___ is the owner of the registered aircraft.
What caused the accident of aircraft registered with [Registration_N78008],___Unknown___EnvironmentalIssue|PROCEDURES/DIRECTIVES|WEATHERCONDITION|___Unknown___AircraftIssue,___unknown___aircraftissue,N/A,flightplan/navigationplan/aircraftconfiguration/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrewmanagement/flightcrew
What is the landing gear type of the registered aircraft involved in [AccidentNumber_MIA05CA121],Tricycle,tailwheel,Retractable tricycle.,tricycle
Who is the registered owner of the registered aircraft involved in [AccidentNumber_FTW03FA028],Tundra Resources Corporation,"sky helicopters, inc.",N/A,The registered owner of the registered aircraft involved in [AccidentNumber_FTW03FA028] is the owner of the registered aircraft.
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI04CA113],Cessna,piper,N/A,craigaircraft.com/aircraft/craig-aircraft-c-a-2-a.html.html.html.html.html.html.html.html.html.html.html.html.
What could have contributed to the cause of the accident [AccidentNumber_CHI88LA187],UNQUALIFIEDPERSON|DUAL_STUDENT|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT,other,Pilot's spatial disorientation due to low visibility and foggy weather conditions.,other_maintenance_personnel_personnel_in_charge_personnel_in_charge_of_maintenance_personnel_in_charge_of_flight_crew_personnel_in_charge_of_flight
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX04LA111],Continental,lycoming,N/A (The question cannot be answered with the given information. The engine manufacturer is not typically reported in accident reports.),turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW04LA202B],Private,private,N/A,Private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL03LA040],Lycoming,lycoming,N/A (The provided Accident Number does not exist in the FAA accident database),turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What is the engine model of the registered aircraft involved in [AccidentNumber_CHI03LA032],IO-360-C1E6,o-320-e2d,N/A - The engine model is not listed in the accident report for AccidentNumber_CHI03LA032.,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI03LA194],172M,pa-28-161,N/A (The provided accident number is not valid),c-46b-2a-1b2b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ANC03LA009],23 Hours at time of accident,___unknown___airframetotaltime,N/A (The Airframe Total Time information is not available in the provided accident report),1408.0 hours at time of accident.
When was the last inspection of the registered aircraft involved in [AccidentNumber_NYC02LA091],Annual,annual,N/A (The accident number provided is invalid or does not exist in the database), ___unknown___lastinspection___registeredaircraftinvolvedinaccidentnumbernyc02la091___lastinspection___registeredaircraftinvolvedinaccidentnumbernyc02la091___unknown___lastinspection___registeredaircraft
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_LAX04FA001],Normal,normal,Standard airworthiness certificate.,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_MIA01FA206],"Installed, not activated","installed, not activated",N/A (The Emergency Locator Transmitter is not listed in the accident report for MIA01FA206),"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ATL01LA063A],Not installed,"installed, not activated",N/A,"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
Which pilots have been involved in the accident of aircraft registered with [Registration_N957T],Pilot_ATL02LA149,pilot_atl02fa113,N/A - There is no record of an aircraft registered with Registration_N957T being involved in an accident.,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW02LA170],Lycoming,lycoming,N/A (The given Accident Number is not valid),turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What is the operator of the registered aircraft involved in [AccidentNumber_ANC02LA012],Island Air Services,transnorthern aviation,N/A (The provided accident number is invalid or not recognized by the system),"Cessna Aircraft Company, Inc."
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ANC04LA018],Retractable-Tricycle,tailwheel,N/A,tricycle
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW02LA044],Class 3 Valid Medical--no waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A (The question cannot be answered as the accident number does not exist in the FAA accident database),Medical with waivers. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No
What could have contributed to the cause of the accident [AccidentNumber_GAA17CA391],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|EffectOnEquipment|EffectOnOperation|NotSpecified|ContributedToOutcome|AbilityTorespond/compensate|Response/compensation,notspecified,"The NTSB report for AccidentNumber_GAA17CA391 does not mention any specific causes for the accident. Therefore, the contribution to the cause of the accident is unknown.",_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the aircraft model of the registered aircraft involved in [AccidentNumber_IAD05LA050],PA-31P-350,g-164a,N/A,c-46b-2a-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-
What is the aircraft model of the registered aircraft involved in [AccidentNumber_FTW03LA069],ThorpT-18,pa-28-180,N/A,c-46b-2a-1b-2b-2d-2e-2f-2g-2h-2i-2j-2k-2l-2m-2n-2o-
What could have contributed to the cause of the accident [AccidentNumber_DEN88FA061],OTHER,other,N/A (The question cannot be answered with the given information),other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the aircraft category of the registered aircraft involved in [AccidentNumber_DEN03LA148],Airplane,airplane,N/A,turboprop:aircraft-category_turboprop_aircraft_category_turboprop_aircraft_category_turboprop_aircraft_category_turboprop_aircraft_category_
What could have contributed to the cause of the accident [AccidentNumber_CEN14LA354],Failure|Malfunction,malfunction,N/A (The accident number provided is not specific enough to determine the accident and provide an answer.),_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What could have contributed to the cause of the accident [AccidentNumber_WPR11LA423],Failure,not_specified,Pilot error.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ATL04CA146],2029 Hours at time of accident,___unknown___airframetotaltime,N/A (The NTSB report for AccidentNumber_ATL04CA146 does not provide the Airframe Total Time of the registered aircraft involved.),1408.0 hours at time of accident.
What could have contributed to the cause of the accident [AccidentNumber_MKC90LA021],OTHER,pilot_in_command,Pilot error.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the engine model of the registered aircraft involved in [AccidentNumber_DEN04FA027A],TPE-331,tio-540aj1a,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
Which pilots have been involved in the accident of aircraft registered with [Registration_N21737],Pilot_CHI03LA143,pilot_lax05ca153,N/A - There is no record of an aircraft with the registration number N21737 being involved in an accident.,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX05CA001],Commercial,private,N/A,Private;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;
Where did the accidents with accident of aircraft registered with [Registration_N8393F] occur,MT,fl,N/A,"florida,florida"
